Bench mbasis
nbits=30, prime=781683761
n	rdim	cdim	order	deg	time
~~~~WARMUP~~~~
V	4	8	64	64	0.002969
NEW	4	8	64	64	0.000026

I	8	7	64	64	0.006540
II	8	7	64	64	0.006374
III	8	7	64	64	0.003326
IV	8	7	64	64	0.005015
V	8	7	64	64	0.007337
NEW	8	7	64	64	0.005656

I	7	8	64	64	0.002413
II	7	8	64	64	0.005316
III	7	8	64	64	0.002005
IV	7	8	64	64	0.003051
V	7	8	64	64	0.005875
NEW	7	8	64	64	0.000037

I	16	1	4	4	0.000136
II	16	1	4	4	0.000138
III	16	1	4	4	0.000128
IV	16	1	4	4	0.000173
V	16	1	4	4	0.000173
NEW	16	1	4	4	0.000067

I	1	16	4	4	0.000018
II	1	16	4	4	0.000015
III	1	16	4	4	0.000014
IV	1	16	4	4	0.000015
V	1	16	4	4	0.000016
NEW	1	16	4	4	0.000004

I	16	8	4	4	0.000632
II	16	8	4	4	0.000400
III	16	8	4	4	0.000358
IV	16	8	4	4	0.000284
V	16	8	4	4	0.000319
NEW	16	8	4	4	0.000157

I	8	16	4	4	0.000134
II	8	16	4	4	0.000115
III	8	16	4	4	0.000076
IV	8	16	4	4	0.000080
V	8	16	4	4	0.000115
NEW	8	16	4	4	0.000016

I	16	15	4	4	0.000441
II	16	15	4	4	0.000305
III	16	15	4	4	0.000224
IV	16	15	4	4	0.000227
V	16	15	4	4	0.000299
NEW	16	15	4	4	0.000200

I	15	16	4	4	0.000266
II	15	16	4	4	0.000233
III	15	16	4	4	0.000148
IV	15	16	4	4	0.000187
V	15	16	4	4	0.000269
NEW	15	16	4	4	0.000034

I	16	1	8	8	0.000299
II	16	1	8	8	0.000312
III	16	1	8	8	0.000278
IV	16	1	8	8	0.000418
V	16	1	8	8	0.000425
NEW	16	1	8	8	0.000131

I	1	16	8	8	0.000039
II	1	16	8	8	0.000038
III	1	16	8	8	0.000031
IV	1	16	8	8	0.000037
V	1	16	8	8	0.000042
NEW	1	16	8	8	0.000005

I	16	8	8	8	0.001618
II	16	8	8	8	0.000961
III	16	8	8	8	0.000805
IV	16	8	8	8	0.000658
V	16	8	8	8	0.000776
NEW	16	8	8	8	0.000414

I	8	16	8	8	0.000278
II	8	16	8	8	0.000301
III	8	16	8	8	0.000160
