Bench polynomial matrix multiplication (FFT prime)
p = 786433  (FFT prime, bit length = 20)
size,degree,ntlx,linbox,ratio(ntlx/linbox)
8,32760,0.18996554,1.33061333,0.14276539
8,131070,0.93863882,5.84247540,0.16065773
16,30,0.00074169,0.17348750,0.00427519
16,60,0.00089994,0.19307963,0.00466099
16,120,0.00180777,0.22195215,0.00814488
16,250,0.00357745,0.04096231,0.08733506
16,510,0.00775284,0.07158746,0.10829888
16,1020,0.01670898,0.13881487,0.12036878
16,2040,0.03869438,0.27124048,0.14265710
16,4090,0.08203379,0.57245000,0.14330297
16,8190,0.17276576,1.17298856,0.14728682
16,16380,0.35796662,2.47439136,0.14466856
16,32760,0.79603665,5.16414579,0.15414682
16,131070,4.03320208,23.75987082,0.16974849
32,30,0.00186380,0.50290594,0.00370606
32,60,0.00347531,0.03555368,0.09774813
32,120,0.00697225,0.06615175,0.10539779
32,250,0.01518677,0.13179591,0.11522946
32,510,0.03755010,0.26055896,0.14411364
32,1020,0.07811591,0.52357255,0.14919787
32,2040,0.15925263,1.06523385,0.14950016
32,4090,0.33323055,2.25574043,0.14772557
32,8190,0.68343497,4.70545236,0.14524320
32,16380,1.56746307,9.55858696,0.16398481
32,32760,3.62611017,19.30864049,0.18779728
64,30,0.00909808,0.06664812,0.13650912
64,60,0.01872447,0.12727763,0.14711516
64,120,0.03853981,0.24842577,0.15513611
64,250,0.07700406,0.50916866,0.15123488
64,510,0.17569055,1.04649990,0.16788396
64,1020,0.37101386,2.27047191,0.16340826
64,2040,0.80043769,4.67227308,0.17131655
64,4090,1.82405887,9.52058712,0.19159101
64,8190,3.88288928,19.16807517,0.20257064
128,30,0.05778760,0.25739949,0.22450549
128,60,0.11494355,0.51558978,0.22293604
128,120,0.21994662,1.06887373,0.20577419
128,250,0.45833858,2.37259516,0.19318027
128,510,1.01887688,4.94324939,0.20611480
128,1020,2.35075714,9.95457759,0.23614836
128,2040,4.96413642,20.68367250,0.24000266
256,30,0.34306158,1.05671616,0.32464875
256,60,0.66536414,2.26469643,0.29379838
256,120,1.54307588,4.73332030,0.32600284
256,250,3.24597782,10.31165764,0.31478720
256,510,7.00357931,21.02889991,0.33304544
512,30,2.34527998,4.96051836,0.47278930
512,60,4.93809610,10.48373227,0.47102463
512,120,10.07272665,22.57720683,0.44614583
1024,30,16.24966244,26.37359651,0.61613373


Bench polynomial matrix multiplication (normal prime)
p = 670081603  (normal prime, bit length = 30)
size,degree,ntlx,linbox,ratio(ntlx/linbox)
2,30,0.00001749,0.04956581,0.00035290
