Bench polynomial matrix multiplication (FFT prime)
p = 786433  (FFT prime, bit length = 20)
size,degree,ntlx,linbox,ratio(ntlx/linbox)
64,60,0.03670143,0.17635364,0.20811269
64,120,0.08087510,0.33653533,0.24031682
64,250,0.15894845,0.68300422,0.23271957
64,510,0.32619951,1.44784326,0.22530029
64,1020,0.70447664,3.10242410,0.22707296
64,2040,1.50704533,6.43162452,0.23431799
64,4090,3.23610547,13.13237080,0.24642203
64,8190,6.57092788,26.79427548,0.24523626
128,30,0.10619640,0.37488348,0.28327841
128,60,0.21708610,0.72265801,0.30039949
128,120,0.41313955,1.59280800,0.25937812
128,250,0.85545623,3.36989908,0.25385218
128,510,1.87727197,6.95007450,0.27010818
128,1020,4.05728350,14.42822981,0.28120452
128,2040,8.60670217,29.79471335,0.28886676
256,30,0.68385662,1.58729924,0.43083031
256,60,1.36419105,3.34944971,0.40728811
256,120,2.82844643,6.94306431,0.40737725
256,250,5.93072170,14.72085623,0.40287885
256,510,12.29028233,30.43625644,0.40380401
512,30,4.36973303,7.60585181,0.57452250
512,60,9.03278533,15.37248744,0.58759426
512,120,18.31826205,32.96536492,0.55568207
1024,30,29.05897076,38.87360826,0.74752440

p = 1139410705724735489  (FFT prime, bit length = 60)
size,degree,ntlx,linbox,ratio(ntlx/linbox)
2,30,0.00001834,0.19013803,0.00009646
2,60,0.00004693,0.14185244,0.00033085
2,120,0.00012093,0.14074227,0.00085923
2,250,0.00013032,0.15098190,0.00086314
2,510,0.00028428,0.16299733,0.00174409
2,1020,0.00056833,0.01953910,0.02908670
2,2040,0.00124026,0.03238491,0.03829759
2,4090,0.00275247,0.06359892,0.04327860
2,8190,0.00439333,0.12433266,0.03533530
2,16380,0.00786010,0.24384124,0.03223448
2,32760,0.01688103,0.48808934,0.03458595
2,131070,0.08500607,1.93756093,0.04387272
4,30,0.00007588,0.88576548,0.00008567
4,60,0.00014380,0.02019921,0.00711914
4,120,0.00028392,0.01536582,0.01847731
4,250,0.00058448,0.01561886,0.03742129
4,510,0.00112956,0.01789940,0.06310585
4,1020,0.00258802,0.02924785,0.08848579
4,2040,0.00425761,0.05569508,0.07644492
4,4090,0.00784991,0.11070402,0.07090903
4,8190,0.01644333,0.22125238,0.07431931
4,16380,0.03592982,0.44520820,0.08070340
4,32760,0.07814241,0.88491301,0.08830519
4,131070,0.35269513,3.72847649,0.09459497
8,30,0.00020028,0.01533534,0.01305983
8,60,0.00051143,0.01407840,0.03632722
8,120,0.00106796,0.01625546,0.06569877
8,250,0.00222130,0.02224111,0.09987378
8,510,0.00402065,0.03652530,0.11007854
8,1020,0.00723940,0.07001143,0.10340312
8,2040,0.01521462,0.13768982,0.11049923
8,4090,0.03285306,0.27337010,0.12017798
8,8190,0.07437269,0.54364002,0.13680503
8,16380,0.15592419,1.11966223,0.13926002
8,32760,0.32614691,2.28122173,0.14297028
8,131070,1.44849874,10.03318026,0.14437085
16,30,0.00084205,0.02361940,0.03565078
16,60,0.00216405,0.02710516,0.07983893
16,120,0.00408346,0.03929317,0.10392300
16,250,0.00733601,0.05974194,0.12279506
16,510,0.01522072,0.11673964,0.13038174
16,1020,0.03317722,0.23346920,0.14210532
16,2040,0.07198331,0.45677490,0.15759034
16,4090,0.15420932,0.95316636,0.16178637
16,8190,0.31962649,1.95192031,0.16374976
16,16380,0.65389711,4.04646083,0.16159729
16,32760,1.36690466,8.77481831,0.15577584
16,131070,6.29508370,38.82892268,0.16212357
32,30,0.00323521,0.03765565,0.08591580
32,60,0.00665175,0.06134774,0.10842701
32,120,0.01353030,0.10905542,0.12406814
32,250,0.03192684,0.21609267,0.14774605
32,510,0.06356629,0.43325900,0.14671660
32,1020,0.13594349,0.87740601,0.15493796
32,2040,0.27863462,1.83239993,0.15205994
32,4090,0.58106126,3.82733039,0.15181895
32,8190,1.22721163,8.25105715,0.14873387
32,16380,2.59044190,16.89924167,0.15328746
32,32760,5.43448573,33.54973561,0.16198297
64,30,0.01734909,0.11437473,0.15168639
64,60,0.03456341,0.21214131,0.16292633
64,120,0.07584709,0.41721588,0.18179339
64,250,0.15810850,0.85632340,0.18463643
64,510,0.31672971,1.80488346,0.17548486
64,1020,0.70511346,3.78422584,0.18632965
64,2040,1.50611174,8.03538038,0.18743503
64,4090,3.20898846,16.53847534,0.19403170
64,8190,6.75719185,33.14085174,0.20389313
128,30,0.10459459,0.45573303,0.22950847
128,60,0.21628282,0.90998575,0.23767715
128,120,0.42119390,1.91479220,0.21996846
128,250,0.89510601,4.10486035,0.21806004
128,510,1.90532064,8.67959524,0.21951722
128,1020,4.02748880,17.83328056,0.22584116
128,2040,8.69665415,41.25212369,0.21081713
256,30,0.67853652,1.96382758,0.34551736
256,60,1.36737346,4.11839374,0.33201620
256,120,2.90594528,8.80587574,0.33000071
256,250,5.98575259,20.36990867,0.29385270
256,510,12.37774924,41.91378366,0.29531453
512,30,4.41167472,10.33697400,0.42678590
512,60,9.05964808,21.05793261,0.43022495
512,120,18.50116799,44.49278492,0.41582400
1024,30,29.02945457,52.51257503,0.55280958

Bench polynomial matrix multiplication (normal prime)
p = 879973  (normal prime, bit length = 20)
size,degree,ntlx,linbox,ratio(ntlx/linbox)
2,30,0.00001753,0.01495115,0.00117255
2,60,0.00003442,0.03298978,0.00104338
2,120,0.00009445,0.02676168,0.00352934
2,250,0.00028963,0.02913439,0.00994104
2,510,0.00042362,0.03433152,0.01233898
2,1020,0.00081797,0.03841705,0.02129174
2,2040,0.00167959,0.04550223,0.03691221
2,4090,0.00354718,0.03545490,0.10004779
2,8190,0.00628444,0.06889414,0.09121874
2,16380,0.01039230,0.13272693,0.07829833
